task_id,domain,submission_status,file_validity,complete_deliverables,subtotal,cap_triggered,final_score,top_issues,strengths,confidence,human_review_flag
T11,电子表格与数据处理,COMPLETE,VALID,True,7.9,False,7.9,Clean!I2:I15与Summary!B2:C7全部硬编码，工作簿无公式或透视，无法追踪到Raw。；Exceptions漏列Cancelled订单1004和Pending订单1011。；四表均无筛选/冻结，日期与金额无合适数字格式，区域图是静态PNG而非可编辑图表。,仅删除一条1007重复记录，14条唯一订单及日期、区域、姓名标准化均正确。；净收入处理和五区域汇总完全匹配Gold checks，总计9180。,HIGH,NO
T12,电子表格与数据处理,COMPLETE,VALID,True,6.3,False,6.3,缺少总计行，未给出1685/1768/+83及4.9258%总体差异率。；全工作簿无公式或条件格式；季度汇总、分类和红绿标记均为硬编码。；三条结论未识别Marketing三月+30驱动，也未解读总体4.93%与绝对+83；管理图为静态PNG。,四个部门的预算、实际、差异、方向及阈值分类全部匹配Gold checks。；四张功能表及三条结论齐全，管理图的部门差异方向和数值正确。,HIGH,NO
T13,电子表格与数据处理,COMPLETE,VALID,True,8.1,False,8.1,留存率和加权结果全部硬编码，工作簿无公式、无成熟cohort动态分母说明。；热力图为静态填色、留存曲线为静态PNG，曲线纵轴没有百分号。；结论虽避免因果断言，但未明确说明3月折扣变化是评估2月引导效果的混杂因素。,所有可观测留存值及加权M1/M2/M3完全匹配Gold，未成熟月份保持空白。；结论不把前后变化断言为因果，并提出随机实验或用户级控制验证。,HIGH,NO
T14,电子表格与数据处理,COMPLETE,VALID,True,5.5,False,5.5,补货计算!L5:L6把非触发D/E列为250和50，而I5:I6为No、Gold要求为0，且与采购清单冲突。；全工作簿无公式、条件格式或输入验证，计算和触发标记全部硬编码。；采购清单缺原因、库存位置和ROP；异常检查也未覆盖长交期及单位/空值控制。,八个ROP及<=触发判断全部正确，A的等号边界处理正确。；采购清单仅含A/C/F/G，四个实际采购量及Case Pack箱数均正确，F零现货有高优先级提示。,HIGH,YES
T15,电子表格与数据处理,COMPLETE,VALID,True,6.2,False,6.2,全工作簿零公式；32%和15%为文本，Base/Downside/Dashboard均不引用Assumptions，模型无法情景重算。；Dashboard没有阈值余量、图表或回款延迟等模型外风险说明。；金额均用General格式且正文未标明单位，未实现声明的统一三位小数展示。,Base六个月期末现金和最低值完全匹配Gold，数值序列体现正确滚动。；Downside按收入下降15%并仅同步降低变动成本，固定费用保持0.75，六个月值及不触发0.8阈值均正确。,HIGH,YES
T16,营销、销售与客户,COMPLETE,VALID,True,8.8,False,8.8,未提供针对COO经营效率、资源配置或组织节奏的独立诉求。；未提供针对HR员工体验、组织健康或政策落地的独立诉求。；经理向帖子主要罗列三项功能，和其他组件的证据及CTA重复，创意层次有限。,试点数字和“无对照组”限定在关键组件中准确、显著且一致。；全部指定组件和数量齐全，落地页与视频的渠道结构尤其清楚。,HIGH,NO
T17,营销、销售与客户,COMPLETE,VALID,True,8.1,False,8.1,横幅和两条推送省略年份及“仅限新客户”，单独投放时无法完整界定2026-09-30期限和优惠对象。；横幅与推送堆叠大量条款且句式重复，短渠道适配和变体差异不足。；术语说明缺少实质取舍理由，25人试用与50席购买的区别也只放在附录。,微信开头完整保留折扣、首张账单、对象、日期、席位、取消和试用条款。；中文整体自然克制，“标签页已经开得够多了”符合专业且略带机智的品牌语气。,MEDIUM,NO
T18,营销、销售与客户,COMPLETE,VALID,True,8.4,False,8.4,C5虽注明立即停止联系，却仍列P3并排在第五，优先级展示与立即行动要求不一致。；C1对客回复没有承诺首次进度更新时间，只说有明确结论后再同步。；内部升级未明确10:15和10:55两个绝对截止时间，且多数非C1事项没有责任人或跟踪时点。,C1正确列为首位P0并保持未定性，未触发任何严重错误封顶。；C2退款/额度、C3 SLA和C5勿联系的授权与政策边界处理准确。,HIGH,YES
T19,营销、销售与客户,COMPLETE,VALID,True,9.3,False,9.3,“可加价支持自动抵扣机制”缺少题内能力依据，容易把尚不存在的机制包装成可购买选项。；实施计划只写第12周“验收”，没有定义迁移完整性、验证结果或培训完成等验收标准。；商业假设清单没有明确写出SLA抵扣机制需谈判，相关内容仅作为待确认问题出现。,五项合规状态全部与Gold checks一致，ISO、权限、SLA和迁移能力边界表达诚实。；两周评估、沙箱验证、分阶段迁移、培训和条件性时间线构成了可执行的实施骨架。,HIGH,NO
T20,营销、销售与客户,COMPLETE,VALID,True,8.5,False,8.5,L4邮件无题内依据地承诺展示“新功能”，与末尾“仅使用题内信息”的自检声明矛盾。；L1和L6邮件使用近乎相同的转介绍开头、Demo主体和泛化CTA，个性化深度不足。；L7预算已确认，48小时目标仍要求取得预算确认反馈，行动未推进到下一采购步骤。,全部8个总分和最终排名完全正确，并正确应用L4优先于L6的时间线tie-break。；逐项分值透明可核验，Top 4与Top 3数量齐全，三封邮件均满足120字限制。,HIGH,NO
T21,法律、合规与政策,COMPLETE,VALID,True,9.2,False,9.2,允许关联方和专业顾问接收信息，却未明确接收方对这些接收人的违约承担责任。；禁令修订仍写“without the necessity of proving actual harm”，与问题表要求删除该预设不一致。；中立仲裁地点完全留待双方同意，未设僵局时的仲裁地或机构确定机制。,完整识别七类Gold check问题，并将原单向结构系统性改为互惠结构。；三年期限、商业秘密持续保护、need-to-know及标准排除项落实充分。,HIGH,YES
T22,法律、合规与政策,COMPLETE,VALID,True,7.6,False,7.6,"英文正文约1,035词，显著低于1,500–2,200字要求。；缺少MSA、SOW与Change Order的冲突优先级，且终止后果和存续机制不完整。；保密条款仅两句，缺定义、排除项、允许/强制披露等关键机制。",责任上限、四类例外、indemnity间接损失例外和便利终止付款均忠实通过Gold checks。；五项不得虚构的信息均使用[TO CONFIRM]并集中列入确认清单。,MEDIUM,YES
T23,法律、合规与政策,COMPLETE,VALID,True,8.2,False,8.2,员工通知未说明可查阅/准备的材料，也未交代调查完成后的结果告知流程。；经理指引没有要求开放式提问或主动核实其余两天是否远程工作。；未注明需依当地劳动法或由当地律师复核。,正确区分门禁晚到与是否工作，突出7月30日09:15线上会议这一有利事实。；明确尚未定论、回应和更正机会，语言中立且隐私披露克制。,HIGH,YES
T24,法律、合规与政策,COMPLETE,VALID,True,8.3,False,8.3,未直接形成“低风险但非零风险”的完整表述，且“擦除已完成”与“无法确认完成”之间缺少状态解释。；证据计划遗漏SIM核查和设备找回行动，MDM时间线也未拆分验证。；条件通知未说明手机遗失，且没有具体联系渠道占位符。,正确将72小时理解为监管通知评估期限，而非自动要求对外通知。；承认日志不完整并设置异常解锁、未加密敏感数据和大规模导出三类升级触发。,MEDIUM,YES
T25,法律、合规与政策,COMPLETE,VALID,True,9.1,False,9.1,"#5把SOC 2 Type II报告称为“认证”，超出了给定证据的准确表述。；#9只要求未来补做竞品测试，没有给出当前可发布的非比较替代主张。；#10将有12,400家证据支持的“数千家”列为Yellow，所给合规风险理由较弱。",六项明显Red、#3 Yellow及证据边界均与Gold checks高度一致。；#3改写完整保留72家、3个月、内部样本、中位数下降40%和无对照等关键限定。,HIGH,YES
T26,研究、分析与尽调,COMPLETE,VALID,True,9.0,False,9.0,证据比较未覆盖Birch 92%来自英文测试集这一关键口径。；POC未验证运行延迟和完整成本。；准确率仅询问“口径”，未定义指标、合格阈值和决策阈值。,三项硬门槛筛选准确，Argo和Cobalt为唯一主短名单。；对自测/第三方证据、样本量、部署能力、周期和认证风险的取舍清楚。,HIGH,NO
T27,研究、分析与尽调,COMPLETE,VALID,True,8.5,False,8.5,调和部分未给出11.7%差异，且“top-down系统性高估”与本题SAM结果方向相反。；把SOM称为“远小于SAM的2%”有误，并遗漏获客、上线爬坡和流失变量。；公式虽完整，但未标注题内来源ID。,TAM、两种SAM、第3年SOM及84家能力校验全部算术正确。；敏感性上下界准确，并避免用简单平均制造伪精确。,HIGH,NO
T28,研究、分析与尽调,COMPLETE,VALID,True,7.5,False,7.5,财务续航和CSV单一退出格式虽被提及，却未作为风险评估。；风险热图用“已确认”代替可能性，并对部分未提供资料作了过强的不存在表述。；缺少恢复演练结果、支持中心访问控制、数据可移植性验证及逐项负责人。,准确抓住RPO 24小时和RTO 4小时两项硬差距，并明确RPO不可接受。；有条件批准设置了认证、清单、跨境机制和灾备指标等签约前条件。,HIGH,YES
T29,研究、分析与尽调,COMPLETE,VALID,True,9.2,False,9.2,新员工首90天只规定“更高频率”，未明确每周3天。；试点没有对照团队或实施前基线。；未设量化复盘门槛及扩大、调整或停止规则。,对S1-S3的数字、相关性边界和混杂限制引用准确。；两天错峰锚点、岗位例外和防经理加码兼顾协作、公平与空间限制。,HIGH,NO
T30,研究、分析与尽调,COMPLETE,VALID,True,7.8,False,7.8,遗漏收入超预期2.20%、营业利润超预期5.26%及归一化EPS 7.40。；将DRAM量增6%与ASP买方预期15%错口径比较，并对跌价原因表述过度确定。；bull情景不完整，且结果、共识、指引和管理层说法缺少具体来源标签或引用。,一次性处置收益税后化及归一化净利7.4计算正确，未触发相关CAP。；目标价285、回报-8.1%和持有评级正确，并提供可证伪催化剂。,HIGH,YES
T31,财务、投资与会计,COMPLETE,VALID,True,9.5,False,9.5,控制建议未明确把现金流项目逐项追溯至总账或试算平衡表。；未提出维护并复核现金流映射表这一编制控制。；未说明编制人/复核人、复核证据留存等持续性控制责任。,P&L、BS、PPE、权益和现金流差异的全部核心计算准确且可复核。；把删除30作为待凭证验证的最简修正，同时保留了合理替代解释。,HIGH,YES
T32,财务、投资与会计,COMPLETE,VALID,True,8.3,False,8.3,"费率、渠道、NRR和订阅的证伪条件没有量化阈值，难以据此执行退出。；小仓建议未转换为组合占比、最大损失或风险预算。；备忘录显著短于1,000-1,400字要求，且未做到结论先行。",三情景估值、净现金桥、概率加权值和上下行计算全部准确。；业务分析没有被交易量增长误导，充分识别费率压缩、订阅质量、渠道集中和监管风险。,HIGH,YES
T33,财务、投资与会计,COMPLETE,VALID,True,9.1,False,9.1,行业净敞口未同时报告占NAV的36%、30%和-16%。；两项对冲没有转换为beta美元名义金额或可执行合约数量。；未披露基差、对冲成本、期权时间衰减或放弃部分上涨等对冲副作用。,Gross、Net和beta调整净敞口均有完整公式且结果准确。；压力测试正确处理Consumer空头在行业上涨时的亏损方向，并准确汇总为-5.74% NAV。,HIGH,YES
T34,财务、投资与会计,COMPLETE,VALID,True,8.0,False,8.0,三个工作表均为零公式，假设、摊销表和年度汇总之间没有单元格引用或控制检查。；第13-24期月份标签写成不存在的2027-13至2027-24，与Annual Summary的2028年度不一致。；逐月整数化导致2027利息、年度折旧和末期-2元出现轻微精度或汇总差异。,有效月率、初始负债、第12期余额、月折旧和2027年度关键值均与Gold checks高度吻合。；要求的三个工作表齐全且可打开，24期利息、本金和负债数值链完整，末期余额实质归零。,MEDIUM,YES
T35,财务、投资与会计,COMPLETE,VALID,True,7.3,False,7.3,三个工作表均为零公式，NPV、排名和8%折现率未与现金流输入建立可追踪关系。；没有任何定量敏感性情景或会改变选择的阈值。；对B和C的成本驱动仅作列举，未展示许可、支持、停机、迁移、涨价和残值之间的抵消关系。,三家NPV及排序可由工作簿现金流独立复算并与Gold checks一致，C的残值也正确作为成本抵减。；推荐A时明确附加同规模客户验证和里程碑付款条件，并保留C作为风险备选。,MEDIUM,YES
T36,运营、项目与采购,COMPLETE,VALID,True,7.2,False,7.2,Gantt将F的零基工作日起始偏移写成16，正确应为15，与Schedule日期不一致。；Gantt工作表仅列开始偏移和工期，没有时间轴或进度条，甘特图交付不完整。；风险登记册缺少每项风险的触发条件和责任人；工作簿也无公式联动，维护性有限。,Schedule中的A至H日期、23个工作日总工期及F/G汇合依赖准确，10月1日上线。；关键路径识别正确，RACI覆盖全部任务且每行唯一A。,MEDIUM,YES
T37,运营、项目与采购,COMPLETE,VALID,True,9.0,False,9.0,上线后支持没有独立执行步骤，只有DoD中的“支持完成交接”。；客户未进入正式角色表，P1/数据问题升级也缺少时限与更高层升级条件。；SOP缺少版本号、生效日期、修订记录和可勾选检查清单。,安全、样本、10%且至少100条抽样、双方确认和客户签字等关键门槛准确完整。；COO紧急沙箱例外与5个工作日补问卷写得明确，四项DoD完整。,HIGH,NO
T38,运营、项目与采购,COMPLETE,VALID,True,8.7,False,8.7,D缺勤备选建议用A顶周三PM，但A在该时段明确不可用，因此方案不可行。；备选只讨论D的周三PM，未覆盖D原排的周四PM和周五PM。；“共20班”把20个人班次称为20个班次，容易与实际10个班次混淆。,主方案10班均为2人、均有Bilingual，Tue/Thu PM有Senior且无超限或不可用安排。；5/4/4/3/4分配均衡，无同日双班，周五PM疲劳偏好满足。,HIGH,NO
T39,运营、项目与采购,COMPLETE,VALID,True,6.6,False,6.6,错误地先排除Y再确定最低报价，导致成本分应为85/100/70.833却写成X=100、Z=83.33。；X/Z总分应为81.00/83.50，却写成85.50/87.25，并遗漏Y淘汰前85.25的原始总分。；谈判要点没有质量验收标准或不合格处理机制。,正确执行Security 80硬门槛，淘汰Y并在X/Z中推荐Z。；识别Z比X贵0.20M但仍在1.25M预算内，并提出价格、交付和安全谈判点。,HIGH,NO
T40,运营、项目与采购,COMPLETE,VALID,True,8.6,False,8.6,没有计算总缺陷164、总样本3135及总体缺陷率5.231%。；验证计划缺少Machine、Shift、Lot交叉/互换试验和预先定义的判定阈值。；A3未设目标缺陷率，措施也缺少责任人和逐项完成时点。,准确识别M2/Night/L2为20%热点及M2/Day/L2为4.94%第二高，并聚焦三因素交互。；严格区分事实、操作员陈述和待验证假设，未把夜班人员违规写成根因。,HIGH,NO
T41,人力资源与内部沟通,COMPLETE,VALID,True,8.9,False,8.9,职责未设置数值、周期或验收口径，难以据此衡量岗位成果。；招聘评分卡没有权重，最终加权规则被留待另定。；部分1/3/5锚点偏概括，例如“独自工作/能协作”，可观察行为区分度不足。,完整移除年龄、婚育、名校和常态加班筛选，并把经验校准为5–8年。；技术、商业判断、管理沟通、自动化和带教均进入结构化评分卡。,HIGH,NO
T42,人力资源与内部沟通,COMPLETE,VALID,True,9.1,False,9.1,复核未采用所有候选人相同的SQL或领域任务，难以公平横向比较。；对C领域学习计划只要求核验，未定义取证方式、评分标准或通过阈值。；回退候选人B已有SQL题仅完成一半的风险，却未安排与C同标准的SQL复测。,三名候选人的加权分和分析硬门槛判断全部准确。；明确剔除同校偏好，并以仅0.10的分差支持条件性而非武断推荐。,HIGH,NO
T43,人力资源与内部沟通,COMPLETE,VALID,True,9.8,False,9.8,“按时率≥95%”与“无个人可控延迟”被并列为同一成功口径，但两者并不等价。；按时率分母写成总交付数，未明确系统故障交付如何计入30天结果口径。；周检未指定记录维护人和每周需留存的检查结果。,精确区分两项可控延迟与一项系统故障，同时充分认可质量和主动性。；SBI脚本、员工视角提问、量化目标及经理支持形成完整的辅导闭环。,HIGH,NO
T44,人力资源与内部沟通,COMPLETE,VALID,True,9.3,False,9.3,无障碍入口虽在公告中出现，但8问FAQ没有覆盖无障碍需求。；没有设置一般搬迁问题的反馈渠道或联系占位。；经理级联要点未纳入120工位/145员工及无障碍设施这两项高频问答事实。,地址、五个关键日期、设施、工位容量和混合政策均准确且一致。；对停车、通勤支持和固定区域等待定项保持透明，没有作承诺，未触发CAP。,HIGH,NO
T45,人力资源与内部沟通,COMPLETE,VALID,True,8.4,False,8.4,学习目标缺少敏感数据发送前验证、公式检查步骤和客户沟通行为等具体工作迁移动作。；仪表板把3次重发当作公式错误基线，遗漏已知8个公式错误，且部分指标无基线。；30天计划未列负责人，也未区分全员训练与定向训练。,正确以隐私风险和Excel实际错误为最高优先级，没有被高自评误导。；四周学习负荷均在每周2小时内，并组合情景、工作坊、同伴复核和经理抽查。,HIGH,NO
T46,综合代理式白领任务,COMPLETE,VALID,True,9.1,False,9.1,分流表缺少独立的优先级、截止和动作列，复核性弱于规定格式。；午后行动使用“白天/空档”，未形成带缓冲的完整可执行日程。；E1草稿承诺10:30前“交回”修正版，措辞略强于仅确认并协调。,监管、P0、董事会修正、钓鱼、共同审批及日历冲突等关键判断全部正确。；5封草稿与行动清单均完整，且清楚保持草稿、委派和待批准边界。,HIGH,NO
T47,综合代理式白领任务,COMPLETE,VALID,True,6.8,False,6.8,8/18错误地把依赖会议提前且零余量的18:10航班作为首选，而Gold要求改签20:30。；缺少延误、行李、酒店/接送和董事会资料的完整韧性方案。；06:30航班与“不安排08:00前会议”的偏好关系及内部会最终调整未明确落定。,8/17不可行性的时间算式准确，并正确选择06:30备选航班。；议程按当地时间列明机场、入境、交通、餐食、会前准备和过道座位，整体易读。,HIGH,NO
T48,综合代理式白领任务,COMPLETE,VALID,True,7.2,False,7.2,议程缺注册/签到，并在14:45闭幕后留下过长的笼统自由交流时段。；风险清单遗漏讲者、AV、天气/交通、数据和应急风险，且没有责任人或升级路径。；客户体验缺现场标识、签到与无障碍引导；待办也没有负责人和截止点。,"V1选择及V2/V3排除理由完全符合硬条件。；预算计算完整准确，包含10%预备费且明确4,000元余量。",HIGH,NO
T49,综合代理式白领任务,COMPLETE,VALID,True,9.1,True,5.0,修正版将“第12个月结束后”写成“自第12个月起”，改变客户终止权的生效时间并触发5.0分CAP。；差异表把多个独立差异合并为六行，逐条位置追踪不如一项一行清晰。；虽声明不构成法律意见，但未明确写出须由律师复核。,差异识别覆盖Gold所列全部实质问题，金额、责任、终止主体及争议机制均正确分级。；除终止时间措辞外，完整中文修正版的主体、数字、责任例外和争议解决均忠实自然。,MEDIUM,YES
T50,综合代理式白领任务,COMPLETE,VALID,True,7.0,False,7.0,ARR同比、NRR、GM、Logo churn及New Logos五个Gold核心变化值未被计算或明确呈现。；XLSX虽有三张表但没有任何真实Excel公式，计算值均为文本或硬编码，追踪性不足。；AI上线决定及各试点/合规动作缺明确闸门表述、责任人、成功阈值和复盘里程碑。,DOCX、6页PPTX和3表XLSX均真实存在、ZIP结构有效、可由对应Office库打开编辑，三件材料数字与建议一致。；管理建议总体审慎：试点上线资源、产品化高级SLA、暂缓无条件提价，并纠正60天续约流程且未承诺8/15。,MEDIUM,YES
