sku_id,单品,渠道类型,渠道,是否目标品牌,规格数值,规格单位,价格元,价格类型,城市,采价日期,数据来源,来源链接,备注
BG-04,趣多多 巧克力味曲奇,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
BG-04,趣多多 巧克力味曲奇,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
BG-04,趣多多 巧克力味曲奇,商超,大润发,否,,,,标价,,,门店实地采价,,
BG-04,趣多多 巧克力味曲奇,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
BG-04,趣多多 巧克力味曲奇,商超,永辉超市,否,,,,标价,,,门店实地采价,,
BG-04,趣多多 巧克力味曲奇,电商,淘宝,否,,,,标价,,,门店实地采价,,
BG-04,趣多多 巧克力味曲奇,电商,拼多多,否,,,,标价,,,门店实地采价,,
HB-01,好丽友 巧克力派,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
HB-01,好丽友 巧克力派,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
HB-01,好丽友 巧克力派,商超,大润发,否,,,,标价,,,门店实地采价,,
HB-01,好丽友 巧克力派,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
HB-01,好丽友 巧克力派,商超,永辉超市,否,,,,标价,,,门店实地采价,,
HB-01,好丽友 巧克力派,电商,淘宝,否,,,,标价,,,门店实地采价,,
HB-01,好丽友 巧克力派,电商,拼多多,否,,,,标价,,,门店实地采价,,
HB-02,达利园 蛋黄派,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
HB-02,达利园 蛋黄派,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
HB-02,达利园 蛋黄派,商超,大润发,否,,,,标价,,,门店实地采价,,
HB-02,达利园 蛋黄派,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
HB-02,达利园 蛋黄派,商超,永辉超市,否,,,,标价,,,门店实地采价,,
HB-02,达利园 蛋黄派,电商,淘宝,否,,,,标价,,,门店实地采价,,
HB-02,达利园 蛋黄派,电商,拼多多,否,,,,标价,,,门店实地采价,,
HB-03,盼盼 法式小面包(乳酸菌小面包),量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
HB-03,盼盼 法式小面包(乳酸菌小面包),量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
HB-03,盼盼 法式小面包(乳酸菌小面包),商超,大润发,否,,,,标价,,,门店实地采价,,
HB-03,盼盼 法式小面包(乳酸菌小面包),商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
HB-03,盼盼 法式小面包(乳酸菌小面包),商超,永辉超市,否,,,,标价,,,门店实地采价,,
HB-03,盼盼 法式小面包(乳酸菌小面包),电商,淘宝,否,,,,标价,,,门店实地采价,,
HB-03,盼盼 法式小面包(乳酸菌小面包),电商,拼多多,否,,,,标价,,,门店实地采价,,
HB-04,桃李 吐司面包(醇熟),量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
HB-04,桃李 吐司面包(醇熟),量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
HB-04,桃李 吐司面包(醇熟),商超,大润发,否,,,,标价,,,门店实地采价,,
HB-04,桃李 吐司面包(醇熟),商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
HB-04,桃李 吐司面包(醇熟),商超,永辉超市,否,,,,标价,,,门店实地采价,,
HB-04,桃李 吐司面包(醇熟),电商,淘宝,否,,,,标价,,,门店实地采价,,
HB-04,桃李 吐司面包(醇熟),电商,拼多多,否,,,,标价,,,门店实地采价,,
HB-05,友臣 肉松饼,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
HB-05,友臣 肉松饼,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
HB-05,友臣 肉松饼,商超,大润发,否,,,,标价,,,门店实地采价,,
HB-05,友臣 肉松饼,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
HB-05,友臣 肉松饼,商超,永辉超市,否,,,,标价,,,门店实地采价,,
HB-05,友臣 肉松饼,电商,淘宝,否,,,,标价,,,门店实地采价,,
HB-05,友臣 肉松饼,电商,拼多多,否,,,,标价,,,门店实地采价,,
TG-01,徐福记 沙琪玛/酥心糖,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
TG-01,徐福记 沙琪玛/酥心糖,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
TG-01,徐福记 沙琪玛/酥心糖,商超,大润发,否,,,,标价,,,门店实地采价,,
TG-01,徐福记 沙琪玛/酥心糖,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
TG-01,徐福记 沙琪玛/酥心糖,商超,永辉超市,否,,,,标价,,,门店实地采价,,
TG-01,徐福记 沙琪玛/酥心糖,电商,淘宝,否,,,,标价,,,门店实地采价,,
TG-01,徐福记 沙琪玛/酥心糖,电商,拼多多,否,,,,标价,,,门店实地采价,,
TG-02,德芙 丝滑牛奶巧克力,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
TG-02,德芙 丝滑牛奶巧克力,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
TG-02,德芙 丝滑牛奶巧克力,商超,大润发,否,,,,标价,,,门店实地采价,,
TG-02,德芙 丝滑牛奶巧克力,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
TG-02,德芙 丝滑牛奶巧克力,商超,永辉超市,否,,,,标价,,,门店实地采价,,
TG-02,德芙 丝滑牛奶巧克力,电商,淘宝,否,,,,标价,,,门店实地采价,,
TG-02,德芙 丝滑牛奶巧克力,电商,拼多多,否,,,,标价,,,门店实地采价,,
TG-03,喜之郎 蒟蒻果冻,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
TG-03,喜之郎 蒟蒻果冻,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
TG-03,喜之郎 蒟蒻果冻,商超,大润发,否,,,,标价,,,门店实地采价,,
TG-03,喜之郎 蒟蒻果冻,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
TG-03,喜之郎 蒟蒻果冻,商超,永辉超市,否,,,,标价,,,门店实地采价,,
TG-03,喜之郎 蒟蒻果冻,电商,淘宝,否,,,,标价,,,门店实地采价,,
TG-03,喜之郎 蒟蒻果冻,电商,拼多多,否,,,,标价,,,门店实地采价,,
TG-04,阿尔卑斯 棒棒糖/硬糖,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
TG-04,阿尔卑斯 棒棒糖/硬糖,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
TG-04,阿尔卑斯 棒棒糖/硬糖,商超,大润发,否,,,,标价,,,门店实地采价,,
TG-04,阿尔卑斯 棒棒糖/硬糖,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
TG-04,阿尔卑斯 棒棒糖/硬糖,商超,永辉超市,否,,,,标价,,,门店实地采价,,
TG-04,阿尔卑斯 棒棒糖/硬糖,电商,淘宝,否,,,,标价,,,门店实地采价,,
TG-04,阿尔卑斯 棒棒糖/硬糖,电商,拼多多,否,,,,标价,,,门店实地采价,,
JG-01,洽洽 香瓜子 原味,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
JG-01,洽洽 香瓜子 原味,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
JG-01,洽洽 香瓜子 原味,商超,大润发,否,,,,标价,,,门店实地采价,,
JG-01,洽洽 香瓜子 原味,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
JG-01,洽洽 香瓜子 原味,商超,永辉超市,否,,,,标价,,,门店实地采价,,
JG-01,洽洽 香瓜子 原味,电商,淘宝,否,,,,标价,,,门店实地采价,,
JG-01,洽洽 香瓜子 原味,电商,拼多多,否,,,,标价,,,门店实地采价,,
JG-02,洽洽 小黄袋 每日坚果,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
JG-02,洽洽 小黄袋 每日坚果,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
JG-02,洽洽 小黄袋 每日坚果,商超,大润发,否,,,,标价,,,门店实地采价,,
JG-02,洽洽 小黄袋 每日坚果,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
JG-02,洽洽 小黄袋 每日坚果,商超,永辉超市,否,,,,标价,,,门店实地采价,,
JG-02,洽洽 小黄袋 每日坚果,电商,淘宝,否,,,,标价,,,门店实地采价,,
JG-02,洽洽 小黄袋 每日坚果,电商,拼多多,否,,,,标价,,,门店实地采价,,
JG-03,甘源 蟹黄味瓜子仁/兰花豆,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
JG-03,甘源 蟹黄味瓜子仁/兰花豆,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
JG-03,甘源 蟹黄味瓜子仁/兰花豆,商超,大润发,否,,,,标价,,,门店实地采价,,
JG-03,甘源 蟹黄味瓜子仁/兰花豆,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
JG-03,甘源 蟹黄味瓜子仁/兰花豆,商超,永辉超市,否,,,,标价,,,门店实地采价,,
JG-03,甘源 蟹黄味瓜子仁/兰花豆,电商,淘宝,否,,,,标价,,,门店实地采价,,
JG-03,甘源 蟹黄味瓜子仁/兰花豆,电商,拼多多,否,,,,标价,,,门店实地采价,,
JG-04,三只松鼠 夏威夷果/碧根果,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
JG-04,三只松鼠 夏威夷果/碧根果,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
JG-04,三只松鼠 夏威夷果/碧根果,商超,大润发,否,,,,标价,,,门店实地采价,,
JG-04,三只松鼠 夏威夷果/碧根果,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
JG-04,三只松鼠 夏威夷果/碧根果,商超,永辉超市,否,,,,标价,,,门店实地采价,,
JG-04,三只松鼠 夏威夷果/碧根果,电商,淘宝,否,,,,标价,,,门店实地采价,,
JG-04,三只松鼠 夏威夷果/碧根果,电商,拼多多,否,,,,标价,,,门店实地采价,,
MJ-01,溜溜梅 西梅/雪梅,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
MJ-01,溜溜梅 西梅/雪梅,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
MJ-01,溜溜梅 西梅/雪梅,商超,大润发,否,,,,标价,,,门店实地采价,,
MJ-01,溜溜梅 西梅/雪梅,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
MJ-01,溜溜梅 西梅/雪梅,商超,永辉超市,否,,,,标价,,,门店实地采价,,
MJ-01,溜溜梅 西梅/雪梅,电商,淘宝,否,,,,标价,,,门店实地采价,,
MJ-01,溜溜梅 西梅/雪梅,电商,拼多多,否,,,,标价,,,门店实地采价,,
MJ-02,溜溜梅 话梅,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
MJ-02,溜溜梅 话梅,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
MJ-02,溜溜梅 话梅,商超,大润发,否,,,,标价,,,门店实地采价,,
MJ-02,溜溜梅 话梅,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
MJ-02,溜溜梅 话梅,商超,永辉超市,否,,,,标价,,,门店实地采价,,
MJ-02,溜溜梅 话梅,电商,淘宝,否,,,,标价,,,门店实地采价,,
MJ-02,溜溜梅 话梅,电商,拼多多,否,,,,标价,,,门店实地采价,,
MJ-03,百草味/佰味葫芦 芒果干,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
MJ-03,百草味/佰味葫芦 芒果干,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
MJ-03,百草味/佰味葫芦 芒果干,商超,大润发,否,,,,标价,,,门店实地采价,,
MJ-03,百草味/佰味葫芦 芒果干,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
MJ-03,百草味/佰味葫芦 芒果干,商超,永辉超市,否,,,,标价,,,门店实地采价,,
MJ-03,百草味/佰味葫芦 芒果干,电商,淘宝,否,,,,标价,,,门店实地采价,,
MJ-03,百草味/佰味葫芦 芒果干,电商,拼多多,否,,,,标价,,,门店实地采价,,
RZ-01,劲仔 深海小鱼 香辣味,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
RZ-01,劲仔 深海小鱼 香辣味,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
RZ-01,劲仔 深海小鱼 香辣味,商超,大润发,否,,,,标价,,,门店实地采价,,
RZ-01,劲仔 深海小鱼 香辣味,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
RZ-01,劲仔 深海小鱼 香辣味,商超,永辉超市,否,,,,标价,,,门店实地采价,,
RZ-01,劲仔 深海小鱼 香辣味,电商,淘宝,否,,,,标价,,,门店实地采价,,
RZ-01,劲仔 深海小鱼 香辣味,电商,拼多多,否,,,,标价,,,门店实地采价,,
RZ-02,盐津铺子(蛋皇) 卤蛋/鹌鹑蛋,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
RZ-02,盐津铺子(蛋皇) 卤蛋/鹌鹑蛋,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
RZ-02,盐津铺子(蛋皇) 卤蛋/鹌鹑蛋,商超,大润发,否,,,,标价,,,门店实地采价,,
RZ-02,盐津铺子(蛋皇) 卤蛋/鹌鹑蛋,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
RZ-02,盐津铺子(蛋皇) 卤蛋/鹌鹑蛋,商超,永辉超市,否,,,,标价,,,门店实地采价,,
RZ-02,盐津铺子(蛋皇) 卤蛋/鹌鹑蛋,电商,淘宝,否,,,,标价,,,门店实地采价,,
RZ-02,盐津铺子(蛋皇) 卤蛋/鹌鹑蛋,电商,拼多多,否,,,,标价,,,门店实地采价,,
RZ-03,王小卤 虎皮凤爪,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
RZ-03,王小卤 虎皮凤爪,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
RZ-03,王小卤 虎皮凤爪,商超,大润发,否,,,,标价,,,门店实地采价,,
RZ-03,王小卤 虎皮凤爪,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
RZ-03,王小卤 虎皮凤爪,商超,永辉超市,否,,,,标价,,,门店实地采价,,
RZ-03,王小卤 虎皮凤爪,电商,淘宝,否,,,,标价,,,门店实地采价,,
RZ-03,王小卤 虎皮凤爪,电商,拼多多,否,,,,标价,,,门店实地采价,,
RZ-04,有友 泡椒凤爪,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
RZ-04,有友 泡椒凤爪,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
RZ-04,有友 泡椒凤爪,商超,大润发,否,,,,标价,,,门店实地采价,,
RZ-04,有友 泡椒凤爪,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
RZ-04,有友 泡椒凤爪,商超,永辉超市,否,,,,标价,,,门店实地采价,,
RZ-04,有友 泡椒凤爪,电商,淘宝,否,,,,标价,,,门店实地采价,,
RZ-04,有友 泡椒凤爪,电商,拼多多,否,,,,标价,,,门店实地采价,,
RZ-05,双汇 火腿肠(玉米热狗肠),量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
