sku_id,品类,品牌,单品名称,量贩渠道常见规格,商超渠道常见规格,规格是否一致,选入理由
HB-03,烘焙/面包/派,盼盼,法式小面包(乳酸菌小面包),散称/袋装,袋装,否,量贩渠道千万级销量单品
HB-04,烘焙/面包/派,桃李,吐司面包(醇熟),袋装,袋装,是,短保烘焙/商超优势品类/反向验证
HB-05,烘焙/面包/派,友臣,肉松饼,散称,袋装,否,散称烘焙代表
TG-01,糖果/巧克力/果冻,徐福记,沙琪玛/酥心糖,散称,袋装,否,称重糖点/量贩毛利品代表
TG-02,糖果/巧克力/果冻,德芙,丝滑牛奶巧克力,小包装,排块装,否,高单价标品/跨渠道价格体系最稳
TG-03,糖果/巧克力/果冻,喜之郎,蒟蒻果冻,散称,袋装,否,果冻品类基本盘
TG-04,糖果/巧克力/果冻,阿尔卑斯,棒棒糖/硬糖,散称,袋装,否,收银台冲动品代表
JG-01,坚果/籽类,洽洽,香瓜子 原味,散称/袋装,袋装,否,籽类第一品牌/量贩渠道核心引流品
JG-02,坚果/籽类,洽洽,小黄袋 每日坚果,小包装,盒装,否,坚果礼盒化品类/商超与电商价差大
JG-03,坚果/籽类,甘源,蟹黄味瓜子仁/兰花豆,散称/袋装,袋装,否,量贩渠道成长起来的品牌/渠道依赖度高
JG-04,坚果/籽类,三只松鼠,夏威夷果/碧根果,袋装,袋装,是,电商起家品牌/反向检验电商是否更便宜
MJ-01,蜜饯/果干,溜溜梅,西梅/雪梅,散称/小包,袋装,否,量贩渠道扶持起来的上市公司单品
MJ-02,蜜饯/果干,溜溜梅,话梅,散称,袋装,否,蜜饯基本盘
MJ-03,蜜饯/果干,百草味/佰味葫芦,芒果干,散称,袋装,否,果干品类/散称与定量包装价差检验
RZ-01,肉制品/蛋/鱼,劲仔,深海小鱼 香辣味,散称/小包,袋装,否,鱼干品类第一单品
RZ-02,肉制品/蛋/鱼,盐津铺子(蛋皇),卤蛋/鹌鹑蛋,散称,袋装,否,蛋制品/量贩渠道高频单品
RZ-03,肉制品/蛋/鱼,王小卤,虎皮凤爪,小包装,袋装,否,新消费卤味品牌/电商与线下价盘差异明显
RZ-04,肉制品/蛋/鱼,有友,泡椒凤爪,散称/袋装,袋装,否,传统卤味标品
RZ-05,肉制品/蛋/鱼,双汇,火腿肠(玉米热狗肠),散称/袋装,袋装,否,商超强势品类/反向验证
YL-01,饮料,怡宝,饮用纯净水,555ml(部分门店520ml简约款),555ml,部分否,瓶装水第一大单品/量贩价格优势最直观
YL-02,饮料,农夫山泉,天然水 红瓶,550ml(12瓶整包定价),550ml,是,量贩以整包定价/单瓶折算是核心方法论
YL-03,饮料,康师傅,冰红茶,468ml,500ml,否,本轮规格争议的引爆单品/必选
YL-04,饮料,元气森林,白桃味气泡水,439ml,480ml,否,新消费饮料渠道限定规格代表
YL-05,饮料,百事可乐,可乐 瓶装,500ml,500ml,是,同规格同单品/可做纯价格对比
YL-06,饮料,脉动,青柠味维生素饮料,400ml,600ml,否,规格差最大的饮料单品之一
YL-07,饮料,康师傅,茉莉花茶(茉莉蜜茶),468ml,500ml,否,已被实测为量贩单位价反而更高的反例
YL-08,饮料,农夫山泉东方树叶,无糖茶,500ml,500ml,是,无糖茶高增长品类/同规格便于对比
FB-01,方便速食,统一,老坛酸菜牛肉面 桶装,120g,120g,是,同规格桶面/量贩vs永辉vs便利店三方可比
FB-02,方便速食,康师傅,红烧牛肉面 桶装,102g,109g,否,桶面规格差异案例
FB-03,方便速食,杨掌柜,粉面菜蛋,162g,183g,否,媒体实测的定量包装缩规格案例
